Sampler,Model,F1-Score,ROC-AUC
SMOTE,Logistic Regression,0.796875,0.812061711079944
SMOTE,Random Forest,0.9565217391304348,0.9728845254791959
SMOTE,XGBoost,0.9571428571428572,0.9700794763908368
ADASYN,Logistic Regression,0.7777777777777778,0.8050490883590463
ADASYN,Random Forest,0.9640287769784173,0.9663394109396916
ADASYN,XGBoost,0.9571428571428572,0.975689574567555
